"Paramètres inclus dans les fichiers de données SYNOP";;;
"Descriptif";"Mnémonique";"type";"unité"
"Indicatif OMM station";"numer_sta";"car";
"Date (UTC)";"date";"car";"AAAAMMDDHHMISS"
"Pression au niveau mer";"pmer";"int";"Pa"
"Variation de pression en 3 heures";"tend";"int";"Pa"
"Type de tendance barométrique";"cod_tend";"int";"code (0200)"
"Direction du vent moyen 10 mn";"dd";"int";"degré"
"Vitesse du vent moyen 10 mn";"ff";"réel";"m/s"
"Température";"t";"réel";"K"
"Point de rosée";"td";"réel";"K"
"Humidité";"u";"int";"%"
"Visibilité horizontale";"vv";"réel";"m"
"Temps présent";"ww";"int";"code (4677)"
"Temps passé 1";"w1";"int";"code (4561)"
"Temps passé 2";"w2";"int";"code (4561)"
"Nebulosité totale";"n";"réel";"%"
"Nébulosité des nuages de l'étage inférieur";"nbas";"int";"octa"
"Hauteur de la base des nuages de l'étage inférieur";"hbas";"int";"mètre"
"Type des nuages de l'étage inférieur";"cl";"int";"code (0513)"
"Type des nuages de l'étage moyen";"cm";"int";"code (0515)"
"Type des nuages de l'étage supérieur";"ch";"int";"code (0509)"
"Pression station";"pres";"int";"Pa"
"Niveau barométrique";"niv_bar";"int";"Pa"
"Géopotentiel";"geop";"int";"m2/s2"
"Variation de pression en 24 heures";"tend24";"int";"Pa"
"Température minimale sur N heures";"tnN";"réel";"K"
"Température maximale sur N heures";"txN";"réel";"K"
"Température minimale du sol sur 12 heures";"tminsol";"réel";"K"
"Méthode mesure tw";"sw";"int";"code (3855)"
"Température du thermomètre mouillé";"tw";"réel";"K"
"Rafales sur les 10 dernières minutes";"raf10";"réel";"m/s"
"Rafales sur une période";"rafper";"réel";"m/s"
"Période de mesure de la rafale";"per";"réel";"min"
"Etat du sol";"etat_sol";"int";"code (0901)"
"Hauteur totale de la couche de neige, glace, autre au sol";"ht_neige";"réel";"m"
"Hauteur de la neige fraîche";"ssfrai";"réel";"m"
"Periode de mesure de la neige fraiche";"perssfrai";"réel";"1/10 heure"
"Précipitations dans les N dernières heures";"rrN";"réel";"mm"
"Phénomène spécial";"phenspeN";"réel";"code (3778)"
"Nébulosité cche nuageuse N";"nnuageN";"int";"octa"
"Type nuage N";"ctypeN";"int";"code (0500)"
"Hauteur de base N";"hnuageN";"int";"m"
"car : caractère ASCII, int : nombre entier, réel : nombre réel (avec décimale).";;;
"Les nombres entre parenthèses après le mot ""code"" sont les numéros de table de code de";;;
"l'OMM (Organisation Mondiale de la Météorologie).";;;
"Vous pouvez cliquer sur le mot code pour accéder directement a ces tables sur le site de l'OMM";;;
